time_s,publish_id,phase,T,Q_flow
0,0,initial,350,50
0.1,1,sample,347.6013323594407,46.00222059906781
0.2,2,sample,345.39445170822484,42.32408618037476
0.30000000000000004,3,sample,343.36402349779934,38.940039162998914
0.4,4,sample,341.49593933184286,35.826565553071475
0.5,5,sample,339.7772188994705,32.96203149911753
0.6000000000000001,6,sample,338.1959197512153,30.326532918692237
0.7000000000000001,7,sample,336.7410543261039,27.90175721017323
0.8,8,sample,335.4025135705287,25.67085595088122
0.9,9,sample,334.17099661598866,23.618327693314484
1,10,sample,333.03794625936786,21.72991043227978
1.1,11,sample,331.99548959511236,19.992482658520714
1.2000000000000002,12,sample,331.03638322833723,18.39397204722877
1.3,13,sample,330.1539627964297,16.923271327382906
1.4000000000000001,14,sample,329.3420967232055,15.570161205342515
1.5,15,sample,328.59514387731883,14.325239795531388
1.6,16,sample,327.9079141769327,13.179856961554606
1.7000000000000002,17,sample,327.2756322710636,12.12605378510608
1.8,18,sample,326.6939047817811,11.156507969635243
1.9000000000000001,19,sample,326.1586897530153,10.264482921692263
2,20,sample,325.66626812257584,9.443780204293148
2.1,21,sample,325.21321828313324,8.688697138555483
2.2,22,sample,324.7963924235951,7.993987372658523
2.3000000000000003,23,sample,324.4128940466843,7.354823411140558
2.4000000000000004,24,sample,324.0600584828745,6.766764138124245
2.5,25,sample,323.7354341998723,6.225723666453916
2.6,26,sample,323.43676531374354,5.727942189572616
2.7,27,sample,323.161976767169,5.269961278615028
2.8000000000000003,28,sample,322.90915906500385,4.8485984416731185
2.9000000000000004,29,sample,322.6765555164627,4.460925860771226
3,30,sample,322.4625500114765,4.104250019127505
3.1,31,sample,322.2656553203771,3.776092200628568
3.2,32,sample,322.0845035966157,3.474172661026273
3.3000000000000003,33,sample,321.91783582693404,3.196393044890101
3.4000000000000004,34,sample,321.7644942060614,2.940823676769014
3.5,35,sample,321.62341298496887,2.7056883082814807
3.6,36,sample,321.49361210169246,2.4893535028207907
3.7,37,sample,321.3741894271235,2.2903157118725517
3.8000000000000003,38,sample,321.2643153553255,2.107192258875841
3.9000000000000004,39,sample,321.1632262352254,1.9387103920424238
4,40,sample,321.07021985594713,1.7836997599118831
4.1000000000000005,41,sample,320.9846497441335,1.641082906889153
4.2,42,sample,320.9059215643523,1.5098692739205148
4.3,43,sample,320.8334880068445,1.3891466780741553
4.4,44,sample,320.766846055603,1.2780767593383757
4.5,45,sample,320.7055323662576,1.1758872770960238
4.6000000000000005,46,sample,320.6491211665723,1.0818686109538476
4.7,47,sample,320.5972202748166,0.9953671246943827
4.800000000000001,48,sample,320.54946918343103,0.9157819723851048
4.9,49,sample,320.50553609810237,0.842560163503947
5,50,sample,320.46511566434793,0.7751927739132611
