time_s,publish_id,phase,T,Q_flow
0,0,initial,350,100
0.1,1,sample,345.394451714413,84.64817238137675
0.2,2,sample,341.49593925551096,71.65313085170328
0.30000000000000004,3,sample,338.1959198124109,60.6530660413697
0.4,4,sample,335.402513553967,51.34171184655679
0.5,5,sample,333.0379462492915,43.459820830971694
0.6000000000000001,6,sample,331.03638324159687,36.78794413865626
0.7000000000000001,7,sample,329.34209672921713,31.140322430723813
0.8,8,sample,327.9079141321107,26.359713773702424
0.9,9,sample,326.69390485485167,22.313016182838965
1,10,sample,325.6662680756608,18.88756025220289
1.1,11,sample,324.79639237698785,15.987974589959663
1.2000000000000002,12,sample,324.06005854146656,13.533528471555314
1.3,13,sample,323.43676537379014,11.455884579300573
1.4000000000000001,14,sample,322.90915904874856,9.697196829161953
1.5,15,sample,322.4625499468053,8.208499822684416
1.6,16,sample,322.0845035228013,6.948345076004443
1.7000000000000002,17,sample,321.7644941418801,5.881647139600545
1.8,18,sample,321.4936120491483,4.978706830494389
1.9000000000000001,19,sample,321.26431530435906,4.214384347863756
2,20,sample,321.07021979577115,3.5673993192374382
2.1,21,sample,320.9059214921798,3.019738307266266
2.2,22,sample,320.76684598423583,2.5561532807863614
2.3000000000000003,23,sample,320.64912112299925,2.163737076664347
2.4000000000000004,24,sample,320.54946920240906,1.831564008030341
2.5,25,sample,320.46511567018547,1.5503855672850477
2.6,26,sample,320.3937119040444,1.3123730134813059
2.7,27,sample,320.33326989545253,1.1108996515085892
2.8000000000000003,28,sample,320.2821068714675,0.9403562382250357
2.9000000000000004,29,sample,320.2387983702817,0.7959945676057032
3,30,sample,320.2021384498249,0.6737948327496497
3.1,31,sample,320.17110645831616,0.5703548610539428
3.2,32,sample,320.14483853670066,0.4827951223354603
3.3000000000000003,33,sample,320.1226031852001,0.408677284000305
3.4000000000000004,34,sample,320.1037813073702,0.3459376912338712
3.5,35,sample,320.08784904957906,0.2928301652634673
3.6,36,sample,320.07436257347933,0.24787524493115143
3.7,37,sample,320.0629465721531,0.20982190717711546
3.8000000000000003,38,sample,320.0532831421903,0.17761047396777485
3.9000000000000004,39,sample,320.0451031733897,0.15034391129904634
4,40,sample,320.0381790623743,0.12726354124765749
4.1000000000000005,41,sample,320.0323178296957,0.10772609898583596
4.2,42,sample,320.02735650806625,0.09118836022094001
4.3,43,sample,320.02315673756704,0.07718912522352639
4.4,44,sample,320.0196017987436,0.06533932914544494
4.5,45,sample,320.0165925411777,0.05530847059253574
4.6000000000000005,46,sample,320.01404529072164,0.04681763573887565
4.7,47,sample,320.01188911057324,0.03963036857760471
4.800000000000001,48,sample,320.010063868345,0.03354622781682792
4.9,49,sample,320.00851894823137,0.028396494104640624
5,50,sample,320.00721113661325,0.024037122044319403
